Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
optimalSort,10/13/22 23:11:09,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./optimalSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.006
optimalSort,10/13/22 23:11:09,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./optimalSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./optimalSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./optimalSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./optimalSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./optimalSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./optimalSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./optimalSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./optimalSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./optimalSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./optimalSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./optimalSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./optimalSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./optimalSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./optimalSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./optimalSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
optimalSort,10/13/22 23:11:09,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./optimalSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
